日期,股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-01-04,沪深300,000300,2016-01-04,3725.86,3469.07,3726.24,3468.95,115370674,145968206095.0,6.9,-7.02,-261.93,0.42
2016-01-05,沪深300,000300,2016-01-05,3382.18,3478.78,3518.22,3377.28,162116984,196017085879.0,4.06,0.28,9.71,0.58
2016-01-06,沪深300,000300,2016-01-06,3482.41,3539.81,3543.74,3468.47,145966144,160947198402.0,2.16,1.75,61.03,0.53
2016-01-07,沪深300,000300,2016-01-07,3481.15,3294.38,3481.15,3284.74,44102641,47130795628.0,5.55,-6.93,-245.43,0.16
2016-01-08,沪深300,000300,2016-01-08,3371.87,3361.56,3418.85,3237.93,185959451,203498868289.0,5.49,2.04,67.18,0.67
2016-01-11,沪深300,000300,2016-01-11,3303.12,3192.45,3342.48,3192.45,174638387,184464050180.0,4.46,-5.03,-169.11,0.63
2016-01-12,沪深300,000300,2016-01-12,3214.82,3215.71,3242.25,3174.55,128225796,142048909710.0,2.12,0.73,23.26,0.46
2016-01-13,沪深300,000300,2016-01-13,3240.48,3155.88,3257.3,3155.88,120666494,130886082444.0,3.15,-1.86,-59.83,0.44
2016-01-14,沪深300,000300,2016-01-14,3076.64,3221.57,3226.66,3072.04,134537671,144771580596.0,4.9,2.08,65.69,0.49
2016-01-15,沪深300,000300,2016-01-15,3200.89,3118.73,3216.8,3101.05,124601779,131882737252.0,3.59,-3.19,-102.84,0.45
2016-01-18,沪深300,000300,2016-01-18,3068.23,3130.73,3165.62,3066.73,101128386,109458287764.0,3.17,0.38,12.0,0.36
2016-01-19,沪深300,000300,2016-01-19,3132.7,3223.12,3227.91,3119.22,127653893,142907686296.0,3.47,2.95,92.39,0.46
2016-01-20,沪深300,000300,2016-01-20,3204.22,3174.38,3225.95,3154.43,130650504,143313337192.0,2.22,-1.51,-48.74,0.47
2016-01-21,沪深300,000300,2016-01-21,3136.38,3081.35,3202.54,3081.35,111189733,121856195433.0,3.82,-2.93,-93.03,0.4
2016-01-22,沪深300,000300,2016-01-22,3114.9,3113.46,3132.17,3053.96,89951087,96885673842.0,2.54,1.04,32.11,0.32
2016-01-25,沪深300,000300,2016-01-25,3129.03,3128.89,3149.33,3105.1,81540061,85777891364.0,1.42,0.5,15.43,0.29
2016-01-26,沪深300,000300,2016-01-26,3099.6,2940.51,3106.53,2934.65,126933921,127250652518.0,5.49,-6.02,-188.38,0.46
2016-01-27,沪深300,000300,2016-01-27,2953.18,2930.35,2963.54,2839.29,132229366,126997670778.0,4.23,-0.35,-10.16,0.48
2016-01-28,沪深300,000300,2016-01-28,2909.33,2853.76,2941.89,2841.84,99222756,95663874927.0,3.41,-2.61,-76.59,0.36
2016-01-29,沪深300,000300,2016-01-29,2855.6,2946.09,2965.31,2854.37,113304259,109462356680.0,3.89,3.24,92.33,0.41
2016-02-01,沪深300,000300,2016-02-01,2939.04,2901.05,2944.52,2869.56,86795342,82931453498.0,2.54,-1.53,-45.04,0.31
